case_id	feature	gene_name
PALBFW	kras.POS.6	kras
PALWVJ	kras.POS.6	kras
PALETP	kras.NEG.1	kras
PALIIN	kras.NEG.5	kras
PALKUC	kras.POS.5	kras
PALUYS	kras.NEG.8	kras
PALVKK	kras.POS.12	kras
PAMBMJ	kras.NEG.6	kras
PALZZV	kras.NEG.12	kras
PAMEZH	kras.NEG.2	kras
PAMMXF	kras.NEG.2	kras
PAMVRA	kras.NEG.5	kras
PANBJH	kras.NEG.11	kras
PAMZMG	kras.POS.1	kras
PANBSP	kras.NEG.10	kras
PANUKV	kras.NEG.9	kras
PANYGR	kras.NEG.9	kras
PAPBGH	kras.NEG.8	kras
PAPKWN	kras.POS.8	kras
PAIVHE	kras.POS.9	kras
PAITEG	kras.POS.13	kras
PAKYZS	kras.POS.10	kras
PAITCI	kras.POS.4	kras
PAPEFE	kras.POS.6	kras
PAIXIF	kras.POS.12	kras
PALCBW	kras.POS.11	kras
PALTEG	kras.POS.11	kras
PAMYCE	kras.POS.8	kras
PAMZGT	kras.POS.10	kras
PANGXK	kras.POS.11	kras
PANJLH	kras.POS.8	kras
PANKFE	kras.POS.12	kras
PANZPV	kras.NEG.2	kras
PANZVU	kras.POS.2	kras
PAPBZI	kras.NEG.6	kras
PANBMJ	kras.POS.8	kras
PAPHPE	kras.NEG.7	kras
PAIPGU	kras.POS.6	kras
PALEVG	kras.NEG.9	kras
PANRHJ	kras.NEG.4	kras
PAPUAR	kras.NEG.1	kras
PAPUEB	kras.NEG.6	kras
PAPUNH	kras.NEG.9	kras
PAPZYP	kras.POS.7	kras
PARACM	kras.POS.9	kras
PANRRW	kras.POS.3	kras
PANLET	kras.NEG.9	kras
PANRVJ	kras.POS.7	kras
PANSBN	kras.POS.11	kras
PANUIF	kras.POS.2	kras
PANWRR	kras.NEG.5	kras
PAPBJE	kras.POS.6	kras
PAPCTS	kras.NEG.8	kras
PAPKXS	kras.NEG.11	kras
PAPTAN	kras.POS.11	kras
PAPTCR	kras.POS.13	kras
PAPUWY	kras.POS.5	kras
PAPVFD	kras.NEG.8	kras
PAPVXS	kras.POS.4	kras
PAPZYZ	kras.POS.10	kras
PARACS	kras.NEG.5	kras
PARAMT	kras.NEG.12	kras
PARBGP	kras.NEG.8	kras
PARDIW	kras.NEG.3	kras
PARFWB	kras.NEG.10	kras
PARDCK	kras.NEG.5	kras
PARGKK	kras.NEG.1	kras
PARKGJ	kras.POS.11	kras
PARSBI	kras.POS.10	kras
PAIFXV	kras.POS.10	kras
PARVLK	kras.NEG.3	kras
PARYNK	kras.NEG.7	kras
PARZIP	kras.NEG.7	kras
PASEGA	kras.NEG.4	kras
PASFGG	kras.POS.3	kras
PASGUT	kras.NEG.7	kras
PASMJG	kras.POS.10	kras
PASMNT	kras.NEG.10	kras
PASNZU	kras.NEG.8	kras
PASPER	kras.NEG.9	kras
PASRFS	kras.NEG.4	kras
PASSRS	kras.NEG.12	kras
